,src,ref,mBART_hand_label_pred,canary_pred
0,ìjɔ̀ kə̀cə̀lò,the shepherd is good,The shepherd is good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1934, 2038, 1679, 2034, 1239, 1181, 1703]), text='The shepherd is nice', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
1,kə̀cə̀lò,he (the shepherd) is good,The power is good.,"Hypothesis(score=0.0, y_sequence=tensor([1239, 1451, 1547]), text='is good', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
2,àprí jə̀cə̀lò,the boy is good,The boy is good.,"Hypothesis(score=0.0, y_sequence=tensor([1203, 1191, 1690, 1239, 1181, 1703]), text='the boy is nice', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
3,ðà áprí və́lɛ̀ðɛ̀,boy pulled it (sheep) (away from),boy pulled it (sheep) away,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1191, 1690, 1162, 1306, 1195, 2034, 1320, 2023, 2122, 2027, 1386,
        2024, 2038, 2121, 1157, 2044, 1364]), text='The boy pulled it (sheep) away', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
4,ðə̀ áprí və́lɛ̀ðɛ̀,boy pulled it (sheep) (away from),boy pulled it (sheep) away,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1191, 1690, 1162, 1306, 1195, 2034, 1320, 2023, 2122, 2027, 1386,
        2024, 2038, 2121, 1157, 2044, 1364]), text='The boy pulled it (sheep) away', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
5,ðà áprí və́lɛ̀ð ɛ̀,boy pulled it (sheep) (away from),boy pulled it (sheep) away,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1191, 1690, 1162, 1306, 1195, 2034, 1320, 2023, 2122, 2027, 1386,
        2024, 2038, 2121, 1157, 2044, 1364]), text='The boy pulled it (sheep) away', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
6,án áprí jə́ɾàu,which boy,Which boy did he laugh at?,"Hypothesis(score=0.0, y_sequence=tensor([1308, 2036, 1216, 1191, 1690, 1172, 1379, 1190, 1505, 2086]), text='Which boy will fall?', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
7,èddèré kìclò,"girl, the girl is good",The school is good,"Hypothesis(score=0.0, y_sequence=tensor([1203, 1198, 1213, 2033, 1239, 1451, 1547]), text='the girl is good', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
8,kàtɛ́və́lɛ̂ðɛ̀ kàtɛ́və́lɛ̂ðɛ̀ ùnɛ́ɾɛ̀,S/he pulled us two away yesterday,S/he pulled us two away yesterday,"Hypothesis(score=0.0, y_sequence=tensor([1215, 2134, 1386, 1162, 1306, 1195, 2034, 1324, 1241, 1301, 2023, 2122,
        1179, 1324, 1419, 2121, 1157, 2044, 1364, 1205, 1156, 1272, 2034, 1364,
        2048]), text='S/he pulled you and me (or you all) away yesterday.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
9,kújɛ̀l kújɛ̀l,in the picture,Parts of: Kuyiel was a shepherd last year,"Hypothesis(score=0.0, y_sequence=tensor([1358, 2032, 2049, 2032, 1239, 1201, 1203, 1162, 1234, 2029, 1471]), text='Kuku is in the picture', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
10,âŋt̪átɛ̀ âŋt̪átɛ̀,You saw you and me yesterday in the picture.,(Go and) sip the soup!,"Hypothesis(score=0.0, y_sequence=tensor([1258, 2041, 1324, 1240, 2026, 1220, 2023, 2122, 1410, 1302, 2121, 1264,
        1811, 2043, 1324, 1172, 1379, 1954, 1536, 1229, 2036, 1219, 1259, 1435,
        2048]), text='If you leave (there) alone, you will see something else.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
11,kàtɛ́və́lɛ̂ðɛ̌r kàtɛ́və́lɛ̂ðɛ̌r ùnɛ́ɾɛ̀,S/he pulled us all.,S/he pulled us all. S/he pulled us all.,"Hypothesis(score=0.0, y_sequence=tensor([1215, 2134, 1386, 1162, 1306, 1195, 2034, 1324, 1419, 1157, 2044, 1364,
        1205, 1156, 1272, 2034, 1364]), text='S/he pulled you all away yesterday', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
12,án kúkù,it's Kuku,It's Kuku (person),"Hypothesis(score=0.0, y_sequence=tensor([1307, 1348, 1358, 2032, 2049, 2032]), text='only Kuku', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
13,ìlɛ́ð kìcə̀lò,plough is good,offspring is good,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1240, 2039, 1239, 1451, 1547, 2048]), text='The leg is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
14,lə̀bó lìcə̀lò,the ball is good,my parents-in-law are good,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1191, 1505, 1239, 1451, 1547, 2048]), text='The ball is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
15,ɛ̀ré kìcə̀lò,the bowl is good,The bowl is good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1191, 1335, 2033, 1239, 1451, 1547, 2048]), text='The bowl is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
16,kdɔ̀ɽðɔ̀t̪ɔ̀,he fixed ,Parts of: Kuku pushed the stone (away),"Hypothesis(score=0.0, y_sequence=tensor([1998, 1490, 1253, 2107, 2014, 1190, 1946, 1246, 1203, 1164, 1185, 1205,
        1156, 1272, 2034, 1364, 2023, 2122, 1271, 1240, 1595, 2121]), text='Parts of: He fixed the cat yesterday (and left)', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
17,ɔ̀ɾá kìcə̀lò,child is good,This support pole for roof is good.,"Hypothesis(score=0.0, y_sequence=tensor([1753, 1318, 1228, 2034, 1239, 1451, 1547, 2048]), text='The child is good.', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
18,ɔ̀ɾá kìcò,child is bad,The water is good.,"Hypothesis(score=0.0, y_sequence=tensor([1318, 1228, 2034, 1239, 1191, 1212]), text='child is bad', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
19,ìró ìjó jìɽà,Your (sg) cows are big,His/her/its cows are big,"Hypothesis(score=0.0, y_sequence=tensor([1345, 1170, 2134, 1679, 2134, 1721, 1164, 1335, 2027, 1480, 1191, 1225]), text='His/her/its cows are big', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
20,ìró íjɛ́n jìɽà,Their cows are big,His/her/its cows are big,"Hypothesis(score=0.0, y_sequence=tensor([1345, 1170, 2134, 2077, 1155, 2134, 2060, 1490, 1164, 1335, 2027, 1480,
        1191, 1225]), text='His/Her/Its cows are big', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
21,ɔ̀ðə̀ŋìnà,hippo,of a hippo,"Hypothesis(score=0.0, y_sequence=tensor([1203, 1186, 2028, 1350, 2031]), text='the hippo', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
22,ɔ̀ðɛ̀ŋìnà,hippo,the hippo,"Hypothesis(score=0.0, y_sequence=tensor([1203, 1186, 2028, 1350, 2031]), text='the hippo', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
23,ɔ̀ðɛ̀ŋìnà kɛ̀,this hippo,the hippo bit,"Hypothesis(score=0.0, y_sequence=tensor([1203, 1186, 2028, 1350, 2031]), text='the hippo', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
24,àprí jàɾɔ́ kìcə̀lò,the boy said he (not the boy) is nice,the boy said he is nice,"Hypothesis(score=0.0, y_sequence=tensor([1203, 1191, 1690, 1239, 1181, 1703]), text='the boy is nice', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
25,kúkù kàɾɔ́ áprǐ jìcə̀lò,Kuku said that the boy is good,Kuku chopped the boy is good,"Hypothesis(score=0.0, y_sequence=tensor([1358, 2032, 2049, 2032, 1191, 1209, 1331, 1203, 1191, 1690, 2051, 2027,
        1391, 1212, 1181, 1703]), text=""Kuku broke the boy's head nice"", dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
26,ðàlàgàràj,hyena,hyena,"Hypothesis(score=0.0, y_sequence=tensor([1186, 2045, 1153, 2026]), text='hyena', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
27,kə̌nà àpríɲá jàmə̀ɲí lɛ̂ŋgɛ̀n,Every boy is loved by his mother,"every boy, his mother likes","Hypothesis(score=0.0, y_sequence=tensor([1175, 1369, 2045, 1191, 1690, 1521, 2049, 1156, 1221, 1175, 1185, 1712,
        1638, 1547]), text='every boy likes to eat his food', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
28,àkáɽə̀ŋàt̪à,you are about to fetch ,you are about to fetch water,"Hypothesis(score=0.0, y_sequence=tensor([1324, 1480, 1430, 1367, 1221, 1190, 1229, 1165]), text='you are about to fetch', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
29,rɔ́mɔ̀ lìclò,The ram is good,The rain is good,"Hypothesis(score=0.0, y_sequence=tensor([1203, 1638, 1547, 1239, 1451, 1547]), text='the food is good', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
30,ɲɛ̌n ɲɛ́ɽcân,two dogs,the dogs will bite each other,"Hypothesis(score=0.0, y_sequence=tensor([1203, 1421, 2039, 2027, 1480, 1191, 1212]), text='the dogs are bad', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
31,ɲɛ̌n ɲɛ́ɽcân,two dogs,the dogs will bite each other,"Hypothesis(score=0.0, y_sequence=tensor([1203, 1421, 2039, 2027, 1172, 1379, 1222, 1261, 2038, 1201, 1396, 1320,
        2023, 2122, 2029, 1386, 1160, 1911, 2121]), text='the dogs will jump into it (the tree)', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
32,ŋʊ̀clò,(The dog) is good.,The dog is good.,"Hypothesis(score=0.0, y_sequence=tensor([1477, 2045, 1417, 1918, 1480, 1451, 1547]), text='many people are good', dec_out=None, dec_state=None, timestamp=[], alignments=None, frame_confidence=None, token_confidence=None, word_confidence=None, length=0, y=None, lm_state=None, lm_scores=None, ngram_lm_state=None, tokens=None, last_token=None, token_duration=None, last_frame=None)"
