,src,allophant_src,ref,mBART_machine_label_pred
0,ìjɔ̀ kə̀cə̀lò,iakeʃelo,the shepherd is good,Iake is good
1,kə̀cə̀lò,kɛcɛlo,he (the shepherd) is good,put on the dress!
2,àprí jə̀cə̀lò,aprejecelo,the boy is good,The boy is nice
3,ðà áprí və́lɛ̀ðɛ̀,ðəaprevleðe,boy pulled it (sheep) (away from),boy pulled it (sheep) away
4,ðə̀ áprí və́lɛ̀ðɛ̀,ðəaprivlɛð,boy pulled it (sheep) (away from),boy pulled it (sheep) towards
5,ðà áprí və́lɛ̀ð ɛ̀,ðəapreðlɛðe,boy pulled it (sheep) (away from),boy pulled it (sheep) away
6,án áprí jə́ɾàu,ɛnapreɪrao,which boy,I was scared of the boy
7,èddèré kìclò,id̪erederkəcilo,"girl, the girl is good",my uncle is good
8,kàtɛ́və́lɛ̂ðɛ̀ kàtɛ́və́lɛ̂ðɛ̀ ùnɛ́ɾɛ̀,katevleðkatevleðeunare,S/he pulled us two away yesterday,You and I pulled all of us away yesterday.
9,kújɛ̀l kújɛ̀l,kujenkʊien,in the picture,Kuku didn't eat it
10,âŋt̪átɛ̀ âŋt̪átɛ̀,aŋt̪at̪eaŋt̪ate,You saw you and me yesterday in the picture.,tell me something! (far)
11,kàtɛ́və́lɛ̂ðɛ̌r kàtɛ́və́lɛ̂ðɛ̌r ùnɛ́ɾɛ̀,katevleðɛrkatevleðɛrʊnere,S/he pulled us all.,S/he pulled all of us away yesterday
12,án kúkù,aŋkoko,it's Kuku,It's you who did it.
13,ìlɛ́ð kìcə̀lò,ɪlɛfkɛʃlo,plough is good,The feather is good.
14,lə̀bó lìcə̀lò,bolekelɔ,the ball is good,The pain is good.
15,ɛ̀ré kìcə̀lò,ɛrekɛkilo,the bowl is good,The leather is good.
16,kdɔ̀ɽðɔ̀t̪ɔ̀,kd̪arlat̪o,he fixed ,he is about to close the door
17,ɔ̀ɾá kìcə̀lò,orakt̪i,child is good,[Wait here]
18,ɔ̀ɾá kìcò,obɾakɪco,child is bad,The baby is good.
19,ìró ìjó jìɽà,iroɪjoieɾa,Your (sg) cows are big,the boy grew up
20,ìró íjɛ́n jìɽà,iroien,Their cows are big,I shaved myself
21,ɔ̀ðə̀ŋìnà,ɔŋna,hippo,rest
22,ɔ̀ðɛ̀ŋìnà,oðeŋena,hippo,hippo
23,ɔ̀ðɛ̀ŋìnà kɛ̀,ɔðəŋɛnakɪd,this hippo,the hare will become fat
24,àprí jàɾɔ́ kìcə̀lò,aprejarokecelo,the boy said he (not the boy) is nice,the boy said that he is nice
25,kúkù kàɾɔ́ áprǐ jìcə̀lò,kʊkʊkaɾoaprejeʃelo,Kuku said that the boy is good,Kuku will make the boy return
26,ðàlàgàràj,ðəlaɡɾraj,hyena,That hyena is big.
27,kə̌nà àpríɲá jàmə̀ɲí lɛ̂ŋgɛ̀n,kɛaapɾɛɲiamelɛŋɡen,Every boy is loved by his mother,When did the boy chase the dog?
28,àkáɽə̀ŋàt̪à,akalmat̪a,you are about to fetch ,Tell him to wait now (far)
29,rɔ́mɔ̀ lìclò,rɔmanacilo,The ram is good,rub the skin!
30,ɲɛ̌n ɲɛ́ɽcân,ɲɛɲeca,two dogs,the legs of a table
31,ɲɛ̌n ɲɛ́ɽcân,ɲenɲelicam,two dogs,the dogs will bite each other (far)
32,ŋʊ̀clò,moʃlo,(The dog) is good.,The mud is good.
33,dòɾǐ lìclò,doreliʃlɔ,The mountain is good.,The wood is good.
34,dòɾì lìclò,d̪oralikimo,The mountain is good.,The gun is good.
35,àjɛ́n jɛ̀clò,aeniɛʃilo,"The country is good (country, hill, mountain)",The houses are good.
36,ɲɛ̌n ɲìclò,ɲɛnliclo,"The countries are good (country, hill, mountain)",The axes are good.
37,ɲɛ̌n ɲɛ̀clò,nɛɲecro,"The countries are good (country, hill, mountain)",The mushrooms (sp.) are good.
38,lɔ́ɾɔ́ lìcɽò,naromekno,The back (body part) is good.,The rock is good
39,lárǒ lìcɽò,naromecro,the rock is good,The rocks are good
40,láró lìcɽò,laromeklo,the rock is good,The hens are good.
41,lárʊ̂ lìcɽò,klaroutʃəl,the rock is good,The bowl is good.
42,ɔ̀ɽɟɛ̌n kìclò,bɔrɡɛnkit̪lo,The gourd is good.,The gourd is good.
43,r̀ló rə̀clò,rlorɔcono,the goat is good,The rock is good.
44,r̀lò rə̀clò,ladoluʃilɔ,the goat is good,The markets are good.
45,jèɽò jìclò,jerojeʃeno,the goats are good,his/her brother is good
46,èɽò ìclò,eloetɛ,the goats are good,come in! (towards)
47,èɽǒ ìclò,jaɛlopikno,the goats are good,I put the stick on the table
48,kícə̀lò,kiʃilo,it is good,The bowl is good.
49,ǹd̪òbà kícə̀lò,darakicinɔ,the morning is good,This curse is good.
50,kúkù kúkúŋ,koʔoʔukɔm,Kuku   Kuku-ACC,Kuku will make Kaka come out
51,íŋgâìt̪ɔ̌ dɛ̂,iŋɡat̪ode,"No, I am not coming",I will not drink water
52,íŋgâìt̪ɔ̌,eŋɡat̪o,I am coming,I will cook (far)
53,ímìdǎn kìcə̀lò,emiðaŋkeʃelo,Himidan is good,his/her mother is good
54,mùðù kèclò,moðokeʃəlons,The leopard is good,The leopard is good.
55,mùðù kɔ̀là,muðubɔna,leopard is tall,The fox is tall
56,ŋʊ́t̪òlíŋá,mət̪olena,of the lion,the lion was watched
57,ùɽí kɔ̀là,ʊlikola,The trees are tall.,The flower is tall.
58,ùɽì kɔ̀là,ʊliɡola,The trees are tall.,The tree is tall.
59,t̪òlí t̪ɔ̀là,ʔolet̪ɔla,The lion is tall,The lion is tall.
60,t̪ùlí t̪òrlà,onet̪rna,lions are tall,grandfather said he saw it
61,t̪ùlí t̪òlà,t̪ʊlet̪ola,lion is tall,The lion is tall.
62,ǎn múðù kâj,ammoðɔka,that is a leopard,the leg is long
63,án múðù kâj,anmoðoke,that is a leopard,This is a leopard
64,àn íjò kɛ̂,amioke,this is a shepherd,Eat my food!
65,íjó jɛ̀ɽcàn,oiliʃa,two guns,The bowl is good.
66,íjó jɛ̀ɽicàn,ʔɪoioɾeʃa,two guns,Cow is good
67,ed̪ɛɾɛ́ kìcə̀lò,ɛd̪erajakiʃilo,the girl is good,the girl is good
68,èd̪ɛ̀rɛ́ kàŋíŋì,ed̪erakamiŋi,The girl saw me,my mother is good
69,èdɛ̀rɛ́ kàŋátɛ̀,iðrkaŋate,the girl saw us two,I sent the hare yesterday
70,àń bácʊ́m kɛ̀,anbakɔmkɛ,This is a fox,It's the boy who did it.
71,nàl bàcʊ̂m,nalbako,Here are foxes,It's you who will eat it.
72,dìjó rìcə̀lò,d̪iaɾrəsəlo,The cow is good,The hearts are good.
73,ùmè kìcə̀lò,omekicilo,The fish is good,The meat is good.
74,wɛ̌n kìcə̀lò,wɛnpikino,The wife is good,his sticks
75,wɛ̌n ìgùn,wenɡeɡun,his wife,his wife
76,làrɔ̀ lìclò,marolekelo,The siblings are good,the dresses are good
77,àrù kìcə̀lò,arkescono,The sibling is good,is good?
78,ɔ̌j kítàɽàn,ojkət̪alan,The bee is small,Kuku will keep quiet
79,ŋárðó lúó,marðlu,Tear the shirt!,The hare is hiding
80,lə̀p ɛ́ r lìcə̀lò,lapɛrleʃelo,The tail is good,The trough is good
81,lə̀pɛ́r lìcə̀lò,lperðeʔelo,The tail is good,To beat the wood is good
82,ídɜ́ɽí kìcə̀ló,idɛɾikeʃəlo,Herbs are good,their uncle is good
83,èlě kə̀cə̀lò,ɛleket̪lo,the king is good,their uncles are good
84,ɛ̀lɛ̀ jɛ̀cə̀lò,ɛlaieʃeme,the mushroom is good,The feathers are good.
85,ɛ̀lɛ̀ jɛ̀cə̀lǒ,elaeclo,mushroom is good,The food is good.
86,ɛ̀là jɛ̀cə̀lò,ɛlaieʃelo,mushroom is good,The monkeys are good.
87,ìlɛ́ð kìcə̀lò,ilɛkeʃno,the hoe is good,the rabbit is good
88,ɜ́ɾʊ́ kìcə̀lò,ɛrokiʃelo,the bird's nest/leather bowl is good,The hair is good.
89,ɜ̀nì kìcə̀lò,ɛnikəcilo,ear/leaf is good,my brothers are good
90,òló kìcə̀lò,ɔlokikelo,the sieve is good,The mouth is nice
91,t̪òlé t̪ə̀rǎ ŋij̀ɛ́ ŋɛ́nɛ̀,t̪olet̪raŋɪje,Why did the lion eat the dog?,the lion I saw
92,t̪òlé t̪ìcəlò,t̪olet̪iʔolo,The lion is good,The lion was lost.
93,tʊ̀lí t̪ìcəlò,t̪olit̪iʃilo,The lions are good,The lion is good.
94,nɛ̀nì nìcìlò,nenimiʃelo,ears are good,The boys are good.
95,ŋ̀wt̪út̪ú ŋìcìlò,mʊtut̪ʊneʃelo,roofs are good,The shirt is good.
96,ŋwɔ́bɛ́ɽɛ́ ŋìcìlò,mobilenicro,flowers are good,The skirts are good.
97,kukǔ án íjɔ̀,kukoanio,Kuku is a shepherd,Kuku is about to eat food
98,àníŋí íjɔ̌,ɛnɪŋiio,I am a shepherd,he was a shepherd
99,ìjɔ̀ gáj àníŋì,iod̪ɛnip,that shepherd is me,I brought the drum
100,ìjɔ̀ kə̀vé ánìŋǐ,iiɔkveaneŋi,the shepherd was me,I cooked soup
101,ìjɔ̀ kə̀vé ánìŋì,iokveai,the shepherd was me,I cooked soup
102,évé ànìŋì ìjɔ̀,evɛtaiio,I was a shepherd,my father
103,évé ànìŋí íjɔ̀,ɛveaiio,I was a shepherd,I was a shepherd
104,ìrí ɛ̀gɔ́,ireeɡo,your name,I cooked soup
105,ɔ́rn ɔ́ɟɔ̀,arnoɟo,You're called what?,who will see it?
106,ǎn kúkùŋà,ankukuŋa,(It was) Kuku and entourage,only Kuku saw it
107,àprí jɛ̀ðə̀ŋná nó t̪òlé t̪àrlɛ̂ɲì ŋínɛ̀,apɾeðɡnanot̪olet̪alɲiŋɡine,The boy remembered the lion chased the dog (towards),The boy remembered how the lion chased the dog (away)
108,àprí jɛ̀ðə̀ŋná nó àn áǒ kà t̪ólé ŕlɛ̂ɲì ŋínɛ̀,aprid̪eŋnanoanaokat̪olɪleɲiŋin,The boy remembered how the lion chased the dog (away),the boy who chased the dog (towards)
109,kà t̪ólé ŕlɛ̂ɲì ŋínɛ̀,kat̪oleleɲiŋɪne,(The boy remembered how) the lion chased the dog (away),chased the dog (towards)
110,àn áǒ kə́ðə̀ŋnɔ́ áprí ánó ká t̪òlé ŕlɛ̀ɲì ŋínɛ̀,naokaðŋnoapranokat̪olilejiŋine,? How did the boy remember the lion chased the dog?,"even though Kuku saw the lion, he still drank water"
111,àn áǒ kə́ðə̀ŋnɔ́l áprí ánó ká t̪òlé ŕlɛ̀ɲì ŋínɛ̀,nakaðanalapɾanokat̪leleɲiŋene,? How did the boy remember the lion chased the dog?,the boy remembered how the lion chased the dog (away)
112,àn áǒ kə́ðə̀ŋnɔ́l áprí ánó ká t̪ólé ŕlɛ̂ɲì ŋínɛ̀,anaokaɾðəŋnalapɾanokat̪oleleɲɪŋine,? How did the boy remember the lion chased the dog?,How did the boy remember the lion chased the dog?
113,ká t̪ólé ŕlɛ̂ɲì ŋínɛ̀,kat̪oɾrleɲŋine,(How did the boy remember) the lion chased the dog?,chased the dog (towards)
114,àn ndɔ́n kə́ðə̀ŋnɔ́l áprí á nó kágɛ́ t̪ólé ŕlɛ̂ɲì ŋínɛ̀,ad̪aŋkaðaŋnolaprianokaɡet̪oleleɲiŋine,When did the boy remember the lion chased the dog (away)?,It's the male goat that the dog chased (away)
115,àn ndɔ́n kə́ðə̀ŋnɔ́l áprí á nó kágɛ́ t̪òlé ŕlɛ̂ɲì ŋínɛ̀,ad̪oŋkad̪nalapɾɪanokaɡet̪olerleɲeŋine,When did the boy remember the lion chased the dog (away)?,it's with its teeth that grandpa said the lion chased the dog (away)
