transcription,rewritten_transcript,translation,decoded_phonemes,split
àprí jɜ̀dí ðáŋàlà,àpɾí jàdí ðáŋàlà,boy held sheep,a p e i a d i ð a a l a,train
àprí jɜ̀dí ðáŋàlà,àpɾí jàdí ðáŋàlà,n/a,a p ɾ e j a d i v a n a l a,train
àprí jə̀və̀lɛ̀ðɔ́ ðáŋàlà,àpɾí jə̀və̀lɛ̀ðɔ́ ðáŋàlà,boy pulled sheep (towards),a p ɾ i i v l e ð ɔ ð l a,train
àprí jə̀və̀lɛ̀ðɔ́ ðáŋàlà,àpɾí jə̀və̀lɛ̀ðɔ́ ðáŋàlà,n/a,a p ɾ e i v l ɛ ð a ð a m a l a,train
àprí jə̀və̀lɛ̀ðɔ́ ðáŋàlà,àpɾí jə̀və̀lɛ̀ðɔ́ ðáŋàlà,n/a,a p ɾ e i e v l e ð ɔ r a n a l a,train
àprí jàvə́lɛ̀ðɛ̌ ðàŋàlà,àpɾí jà və́lɛ̀ðɛ̀ ðàŋàlà,n/a,a p ɾ i i a v l e ð e r a n a l a,train
àprí jàvə́lɛ̀ðɛ́ ðàŋàlà,àpɾí jà və́lɛ̀ðɛ̀ ðàŋàlà,boy pulled sheep (away ),a p ɾ e i a v l e v ɛ ð l a,train
àprí jávə̀lɛ̀ðɔ́ ðáŋàlà,àpɾí já və̀lɛ̀ðɔ́ ðáŋàlà,n/a,a p ɾ e i a v l e ð o r a ŋ l a,train
àprí jávə̀lɛ̀ðɔ́ ðáŋàlà,àpɾí já və̀lɛ̀ðɔ́ ðáŋàlà,n/a,a p ɾ e i a v l e ð ɔ v a ŋ a l a,train
àprí jávə̀lɛ̀ðɔ́ ðáŋàlà,àpɾí já və̀lɛ̀ðɔ́ ðáŋàlà,n/a,a p r e j a v l e v a r a l a,train
àprí jávə̀lɛ̀ðɔ́ ðáŋàlà,àpɾí já və̀lɛ̀ðɔ́ ðáŋàlà,n/a,a p ɾ i i a v l e ð o ð a n a l a,train
àprí jávə́lɛ̀ðà ðàŋàlà,àpɾí já və́lɛ̀ðà ðàŋàlà,boy will pull sheep (away),a p ɾ e i a v l ə ð ə v a ŋ a l a,train
àprí jávə́lɛ̀ðà ðàŋàlà,àpɾí já və́lɛ̀ðà ðàŋàlà,n/a,a p ɾ e i a b l e d̪ ə d̪ ə ŋ a l a,train
ðə̀və̀lɛ́ðɔ́ áprì,ðə̀və̀lɛ̀ðɔ́ ápɾí,boy pulled it (sheep) towards,ð ə v l e ð o a p r i,train
ðə̀və̀lɛ́ðɔ́ áprì,ðə̀və̀lɛ̀ðɔ́ ápɾí,n/a,r l ɛ ð o a p r ɪ,train
ðə̀və̀lɛ́ðɔ́ áprì,ðə̀və̀lɛ̀ðɔ́ ápɾí,n/a,d̪ ə v l e ð o a p ɾ ɪ,train
